business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
Rad7bl6MFOEemh41CdREMQ,Isla Vista Community Bike Center,6584 Madrid Rd,Isla Vista,CA,93117,34.4126811,-119.8575491,5,6,0,"Community Service/Non-Profit, Shopping, Local Services, Bike Rentals, Bikes, Bike Repair/Maintenance, Active Life, Sporting Goods"
ifjluUv4VASwmFqEp8cWlQ,Marty's Pizza,2733 De La Vina St,Santa Barbara,CA,93105,34.4362361,-119.7261474,4,64,1,"Pizza, Restaurants"
VeFfrEZ4iWaecrQg6Eq4cg,Cal Taco,"7320 Hollister Ave, Ste 1",Goleta,CA,93117,34.4305419,-119.882367,4,189,1,"Burgers, Cafes, Restaurants, Mexican, American (Traditional)"
4pS7qnjJ7_DCoJB-Enl7KA,Prop and Decor Outlet: The Tent Merchant Inc.,930 State St,Santa Barbara,CA,93101,34.4214452,-119.7014496,4,5,1,"Shopping, Home & Garden, Home Decor, Props"
X7FQ5k29A_RRYep7TOfjtw,"Dawna Ara, DACM, LAc","23 Hitchcock Way, Ste 110",Santa Barbara,CA,93105,34.43929507,-119.7443122,5,54,1,"Health & Medical, Beauty & Spas, Skin Care, Acupuncture, Massage, Traditional Chinese Medicine"
bdfZdB2MTXlT6-RBjSIpQg,Pho Bistro,903 Embarcadero Del Norte,Isla Vista,CA,93117,34.4129345,-119.8555307,3,184,1,"Food, Restaurants, Chinese, Bubble Tea, Vietnamese"
VEbHYioBfoPiIOWntE_DBA,Tienda Ho,1105 State St,Santa Barbara,CA,93101,34.422317,-119.7036672,4.5,34,0,"Shopping, Women's Clothing, Jewelry, Fashion, Accessories"
xwSWtJcQkzTF6HNm_IMgcg,Rusty's Pizza Parlor,270 Storke Rd,Goleta,CA,93117,34.4290427,-119.8693616,2.5,94,1,"Chicken Wings, Salad, Restaurants, Pizza, Italian, Sandwiches"
82suwumWp1MEq04QhiS9DQ,Surreal Virtual Reality Studio,"436 State St, Ste B",Santa Barbara,CA,93101,34.4167818,-119.6951394,5,30,0,"Recreation Centers, Arts & Entertainment, Virtual Reality Centers, Active Life"
uHprVoxTV7CwKJdaEEf3aA,Challenge Asphalt Paving,118 Nopalitos Way,Santa Barbara,CA,93103,34.419063,-119.6783917,4,18,1,"Masonry/Concrete, Contractors, Home Services"
#NAME?,Dune Coffee Roasters - Anacapa,528 Anacapa St,Santa Barbara,CA,93101,34.4189939,-119.6950684,4,0.32,1,"Coffee & Tea, Coffee Roasteries, Food"
18eWJFJbXyR9j_5xfcRLYA,Siam Elephant,509 Linden Ave,Carpinteria,CA,93013,34.3965102,-119.5216815,4.5,0.46,1,"Restaurants, Thai"
6jomGWEI4ryImrWPguUQQQ,Santa Barbara Athletic Club,520 Castillo St,Santa Barbara,CA,93101,34.413384,-119.7003408,3,55,1,"Fitness & Instruction, Swimming Pools, Active Life, Recreation Centers, Gyms"
Ed7RUOj9MTUf9U-Y73bYlw,Run Montecito-Summerland,,Montecito,CA,93108,34.4366626,-119.6320753,2.5,8,1,Active Life
VeIrgRMOK_0ZToziUd2kUA,Franceschi Park,1510 Mission Ridge Rd,Santa Barbara,CA,93103,34.4399258,-119.6939139,4.5,26,1,"Parks, Active Life"
BkmVHg6HjHWMc0OFxcd6VQ,Hair By Audrey Johnson,,Santa Barbara,CA,93108,34.4381407,-119.6151426,5,5,1,"Hair Stylists, Beauty & Spas, Hair Extensions, Hair Salons"
Jb1MlURq6ItKZ244tyoirA,Jessie Sessions - Berkshire Hathaway Santa Barbara,3868 State St,Santa Barbara,CA,93105,34.4408006,-119.7494444,5,19,1,"Real Estate Agents, Home Services, Real Estate, Real Estate Services"
B5XSoSG3SfvQGtKEGQ1tSQ,Los Padres National Forest,San Marcos Pass Rd,Santa Barbara,CA,93105,34.597239,-119.510772,4.5,13,1,"Parks, Active Life"
vLT1KtrA9bWvjFOg-0xVIg,Pieology Pizzeria,"7000 Hollister Ave, Ste F",Goleta,CA,93117,34.4304533,-119.8723449,3.5,131,0,"Restaurants, Gluten-Free, Pizza, Vegan, Fast Food"
#NAME?,Lama Dog Tap Room,116 Santa Barbara St,Santa Barbara,CA,93101,34.4157471,-119.6884801,4,2380000,1,"Beer, Wine & Spirits, Pubs, Arts & Entertainment, Kombucha, Nightlife, Wineries, Food, Bars, Beer Bar"
wYROX7rw9fkQrWUS2YyY9g,Will Nelson Fitness,"324 State St, Ste C",Santa Barbara,CA,93101,34.4157298,-119.6936606,5,7,1,"Trainers, Health & Medical, Nutritionists, Boot Camps, Fitness & Instruction, Gyms, Active Life"
BMTtMWDR3zcR5T30GFDoXQ,CA Pro Home Inspection,"3463 State St, Ste 139",Santa Barbara,California,93105,34.44027793,-119.7442188,5,5,0,"Real Estate, Home Services, Home Inspectors, Handyman, Real Estate Services"
kHOXo-IZSpixpctmHsGlyA,The Beach Grill at Padaro,3765 Santa Claus Ln,Carpinteria,CA,93013,34.4068624,-119.5485504,4,16,0,"American (Traditional), Restaurants"
dFEyk7Si7R-CHCMbxx3oJg,A-1 Auto Repair,1 S Milpas St,Santa Barbara,CA,93103,34.421701,-119.6785539,5,21,1,"Automotive, Auto Repair"
UFpCraqzFBAhtZqmxmiWsA,Cat Therapy,"1213 State St, Ste L",Santa Barbara,CA,93101,34.4233019,-119.7054707,4.5,116,1,"Themed Cafes, Cafes, Pets, Arts & Entertainment, Women's Clothing, Coffee & Tea, Shopping, Pet Adoption, Fashion, Pet Sitting, Accessories, Pet Stores, Pet Services, Food, Restaurants"
rQQPHtz05Y4hnDxY6kljFw,Unique Tan,11 W Carrillo St,Santa Barbara,CA,93101,34.4210375,-119.7021806,3,10,0,"Tanning, Skin Care, Beauty & Spas"
Hqz96v1ymucUKNzIWfEKXw,Subway,"1936 State St, Ste B",Santa Barbara,CA,93101,34.430822,-119.714156,3,5,0,"Restaurants, Delis, Sandwiches, Fast Food"
JWFpjvCc_nkNDVtMPx1ZGg,Bogo SB,1114 State St,Santa Barbara,CA,93101,34.4230427,-119.7032863,4.5,12,1,"Food, Food Delivery Services, Burgers, Pizza, Caterers, Event Planning & Services, Restaurants"
JbFsyY7pi85oaY4DoAgwCA,Cat Doctors,"1333 De La Vina St, Ste G",Santa Barbara,CA,93101,34.4227146,-119.7092718,4.5,29,1,"Veterinarians, Pets, Pet Services"
TteUG63xhW8ORWNzQ1i_1w,Gap,615 Paseo Nuevo,Santa Barbara,CA,93101,34.419317,-119.699999,2,10,1,"Sporting Goods, Women's Clothing, Shopping, Men's Clothing, Fashion, Sports Wear, Children's Clothing"
sCkN50fE_Pe9gwSnwVwiJA,The UPS Store,27 West Anapamu St,Santa Barbara,CA,93101,34.42255987,-119.7051372,3.5,37,1,"Notaries, Mailbox Centers, Printing Services, Shipping Centers, Local Services"
PhG-1jmDaWxPMAQzjXg_Sw,Nancys Cleaning Services Of Santa Barbara,"922 State St, Ste A7",Santa Barbara,CA,93101,34.4212546,-119.7012007,3.5,34,1,"Window Washing, Home Services, Professional Services, Office Cleaning, Home Cleaning, Local Services, Carpet Cleaning"
7qaewBVVl0lOfZPTvtR53w,Star Nails,"5801 Calle Real, Ste F",Goleta,CA,93117,34.440612,-119.8262779,4,134,1,"Beauty & Spas, Nail Salons"
HdWXWU6CZueBZsf1oKNBcQ,The Adult Store,405 State St,Santa Barbara,CA,93101,34.41587208,-119.6945152,4,32,1,"Bookstores, Books, Mags, Music & Video, Party Supplies, Event Planning & Services, Adult, Arcades, Fashion, Adult Entertainment, Nightlife, Arts & Entertainment, Personal Shopping, Shopping, Lingerie, Education, Active Life, Adult Education"
HVtsnFYAHqqPhJ1-rlWPFQ,Hahka Kitchens,72 Santa Felicia Dr,Goleta,CA,93117,34.4318701,-119.8755993,4,6,1,"Shopping, Home Services, Kitchen & Bath, Windows Installation, Home & Garden, Cabinetry, Interior Design, Contractors"
TZ-bgvsk189WywTLFrqfTQ,Ascending Health Juicery,34 E Sola St,Santa Barbara,CA,93101,34.426043,-119.705782,4.5,7,1,"Food, Health & Medical, Juice Bars & Smoothies"
0E9eF5Oh-kd4xCcCs4CX6g,Corazza Mark S MD,2431 Castillo St,Santa Barbara,CA,93105,34.4310604,-119.7254333,2.5,14,1,"Neurologist, Doctors, Health & Medical"
GCU4EGXALp7A-dut7vjTMQ,Upholstery Decor,5788 Hollister Ave,Goleta,CA,93117,34.4359941,-119.826305,6,24,1,"Local Services, Furniture Reupholstery, Antiques, Home & Garden, Shopping, Furniture Stores, Mattresses"
9L-MR0arflwFMF9szEBOOg,California Wine Festival,,Santa Barbara,CA,93101,34.41446605,-119.6851896,4.5,7,1,"Wineries, Food, Restaurants, Arts & Entertainment, Festivals, Food Stands"
uFF40n9pOqHK1ciajdoSEw,Tony's Restaurant,699 Linden Ave,Carpinteria,California,93013,34.396988,-119.5210305,3,72,0,"Restaurants, American (Traditional)"
_L0DNfnS5VFGv-V1WcMdmA,Hugo's Auto Detailing,1298 Coast Village Rd,Santa Barbara,CA,93108,34.42190765,-119.6402372,5,15,1,"Automotive, Auto Glass Services, Car Wash, Auto Detailing"
aYMpjij5ShtEoZueMrQPRw,The Mill,406 E Haley St,Santa Barbara,CA,93101,34.4211189,-119.690633,4,5,1,"Breweries, Shopping, Food Court, Food, Venues & Event Spaces, Restaurants, Event Planning & Services, Wineries, Wine Tasting Room, Arts & Entertainment, Shopping Centers"
PaqDZUu76fZtMvcYqCEBig,Rincon Brewery,205 Santa Barbara St,Santa Barbara,California,93101,34.4161821,-119.6897762,6,32,1,"Breweries, Brewpubs, Food"
ad20p91cUnFe6hCvwzUVdA,Mission Appliance Service,6598 Camino Venturoso,Goleta,California,93117,34.4445545,-119.8542409,4,13,1,"Appliances & Repair, Local Services, Home & Garden, Shopping, Appliances"
3hv0_BFbB32m_hay8zxfJg,Pour Santa Barbara,,Santa Barbara,California,93105,34.4208305,-119.6981901,5,14,1,"Bartenders, Event Planning & Services"
zliWQ4TXYzcehYQQbeQiYA,Party Proper Productions,,Santa Barbara,California,93101,34.420334,-119.7107494,5,7,1,"DJs, Event Planning & Services"
PHa__dszwtpRaSEx1CYgNg,Enterprise Rent-A-Car,"5959 Hollister Ave, Ste B",Goleta,California,93117,34.4358628,-119.829997,3.5,43,1,"Car Rental, Hotels & Travel"
XcMTtU_twdP_Zd7oWBkceg,Santa Barbara Surf School,736 Carpinteria St,Santa Barbara,California,93103,34.419259,-119.678618,5,22,1,"Surf Schools, Education, Paddleboarding, Beach Equipment Rentals, Specialty Schools, Active Life, Surfing"
6zsdSFG86YXsgWK1wtU-3g,LF Santa Barbara,931 State St,Santa Barbara,California,93101,34.4211744,-119.7017424,3,37,0,"Fashion, Accessories, Women's Clothing, Shopping"
u9IX2rrzt9XH6aUc2EG47A,Pier 1,6996 Marketplace Dr,Goleta,California,93117,34.42952289,-119.8717082,2.5,6,0,"Furniture Stores, Rugs, Shopping, Home Decor, Home & Garden, Candle Stores"
XLbh-HlT8Hgh9VTvVZJrTw,Cowboys and Angels Salon,921 State St,Santa Barbara,California,93101,34.4207159,-119.7017777,5,17,1,"Beauty & Spas, Hair Salons"
aOcTUvH7Vh6v0jPeVPieUA,Wheel Fun Rentals,22 State St,Santa Barbara,California,93101,34.4128895,-119.6898255,4,33,0,"Shopping, Bikes, Sporting Goods"
q4oXv_YMmrZ_4l57A4fx9A,Granny's Garage,712 Nopalitos Way,Santa Barbara,California,93103,34.4196196,-119.6806756,4.5,28,1,"Auto Repair, Automotive"
jl5PVOwI3kgyeNMOWe1BVA,Murphy Daniel A Atty,228 E Victoria St,Santa Barbara,California,93101,34.427082,-119.7025358,2.5,5,1,"Divorce & Family Law, Criminal Defense Law, Lawyers, Professional Services"
c6EVSB0qWsGDdNdYcwScgA,Carpinteria 76,5085 Carpinteria Ave,Carpinteria,California,93013,34.3980988,-119.517742,2,12,1,"Convenience Stores, Gas Stations, Food, Automotive"
F3dxQiOwN55rSLw-BNSq6A,Sweet Alley,955 Embarcadero Del Mar,Goleta,California,93117,34.4120096,-119.8575399,4,51,0,"Acai Bowls, Juice Bars & Smoothies, Ice Cream & Frozen Yogurt, Bubble Tea, Desserts, Food"
GgcvRnt5_z3NEC0D6vNncQ,Cafe Buenos Aires,1316 State St,Santa Barbara,California,93101,34.424829,-119.706032,3.5,56,0,"Restaurants, Argentine"
N-CBZKO37y_WSUN7ZMNGkg,Taqueria El Pastorcito,4427 Hollister Ave,Santa Barbara,California,93110,34.4397058,-119.7708382,4,66,0,"Restaurants, Mexican"
rIEbhLBfS5KQGKbQ6wxd2w,Benefit Cosmetics Boutique & BrowBar,925 State St,Santa Barbara,California,93101,34.4210069,-119.7015452,4,62,0,"Cosmetics & Beauty Supply, Hair Removal, Eyebrow Services, Shopping, Tanning, Makeup Artists, Waxing, Beauty & Spas, Eyelash Service"
nTZuJSfwCoNOyA1yS3rbOQ,The Silver Bough,1295 Coast Village Rd,Santa Barbara,CA,93108,34.4212447,-119.640407,4.5,7,0,"American (New), Restaurants"
m7ZMD292wH286GK9GGkXrg,Aaron Jorgensen Plumbing,611 Rossmore Rd,Goleta,CA,93117,34.4493397,-119.8332636,5,5,1,"Home Services, Plumbing"
MiMRlsXOpHJMSTDAuw8s1w,Su’s Bowl,"901 Embarcadero Del Mar, Unit 100",Isla Vista,CA,93117,34.4129239,-119.8573375,3.5,18,1,"Chinese, Restaurants, Asian Fusion, Szechuan"
V4lqQdll3_TAEtkrHDYbAA,Italia Pizza & Pasta,149 N Fairview Ave,Goleta,CA,93117,34.4427601,-119.8306695,3.5,24,0,"Italian, Pizza, Food, Restaurants, Beer, Wine & Spirits"
oXP5aohLv5e7R4eahaGXkQ,B and D's Curbside Grill,Earl Warren Showgrounds,Santa Barbara,CA,93108,34.4208305,-119.6981901,3.5,6,1,"Food, Food Trucks"
7j8rT3FZbXgL4k0DnXi2Mw,"West Beach Inn, a Coast Hotel",306 W Cabrillo Blvd,Santa Barbara,CA,93101,34.4092802,-119.69348,4,137,1,"Event Planning & Services, Hotels, Hotels & Travel"
o7ve1hUoAjAd5pnTzikfhw,Aquatic Designs,230 Magnolia Ave,Goleta,CA,93117,34.4354824,-119.8297516,4,9,1,"Pet Stores, Pets"
#NAME?,Sansum Clinic Obstetrics & Gynecology,515 W Pueblo St,Santa Barbara,CA,93105,34.428488,-119.724416,2.5,17,1,"Obstetricians & Gynecologists, Health & Medical, Medical Centers, Doctors"
lTVHJAvtFQbQb6cPstEXyA,China Bowl & State Street Cafe,440 E Ortega St,Santa Barbara,CA,93101,34.4235663,-119.6925452,2,61,0,"American (New), American (Traditional), Chinese, Restaurants"
o1d0nqb5-9SexTMxYaMY9w,Dustie Wagens,115 W De La Guerra,Santa Barbara,CA,93101,34.4178983,-119.7007482,5,8,1,"Tours, Hotels & Travel, Wine Tours, Campgrounds, Car Rental, Active Life, Wedding Planning, Surfing, Event Planning & Services"
Ey0t4U6yqtxCeMaGPf7GcA,Brummis - the German Taste,3130 State St,Santa Barbara,CA,93105,34.440696,-119.732304,4.5,111,0,"German, Restaurants"
ULORSTWTa5PbyjM6K4tWDA,Dodo Limo & Transportation,4133 San Martin Way,Santa Barbara,CA,93110,34.4451279,-119.761387,4.5,15,1,"Transportation, Local Services, Limos, Hotels & Travel, Wine Tours, Taxis, Tours, Town Car Service, Airport Shuttles"
ju4YP8SLdR_BmWr_-Xh83Q,Phamous Cafe,"7127 Hollister Ave, Ste 25",Goleta,CA,93117,34.428242,-119.876408,4,220,1,"Food, Vietnamese, Restaurants, Bubble Tea"
9nkC0h6hwq2pCLsEy97abA,"Carissa Cassone, LE",,Santa Barbara,CA,93109,34.4038383,-119.7252297,4.5,6,1,"Beauty & Spas, Skin Care, Hair Removal, Permanent Makeup"
qdpdUjdkEUpzYDdce2yZng,Plaza Deli,140 S Hope Ave,Santa Barbara,CA,93105,34.436708,-119.748708,4,188,1,"Sandwiches, Restaurants, Salad, Hot Dogs, Delis"
2eVDlVkr2uD3wdr6PbL7_A,Wells Fargo Bank,"6530 Pardall Rd, Ste A",Isla Vista,CA,93117,34.4132271,-119.8548019,4.5,9,1,"Banks & Credit Unions, Financial Services"
FcT5E4EoNe6dUOPYkenSdw,Milpas Rental,6 N Milpas St,Santa Barbara,CA,93103,34.422047,-119.678904,4.5,9,1,"Truck Rental, Automotive, Home Services, Machine & Tool Rental, Contractors, Local Services, Trailer Rental"
a3iJjFzOy437mBKt4bqPqw,The Barber Shop,1233 State St,Santa Barbara,CA,93101,34.4240234,-119.7057507,4,79,1,"Shoe Shine, Men's Hair Salons, Barbers, Hair Salons, Local Services, Beauty & Spas, Hair Stylists"
bjhCtlYHrkgA5Ku8l-rB3g,Our Daily Bread,2700 De La Vina St,Santa Barbara,CA,93105,34.435812,-119.725001,3.5,106,0,"Restaurants, Cafes, Breakfast & Brunch, Bakeries, Food"
tASk64QgOZgeM_APz7wJFA,Urban Optics Optometric Center,"1114 State St, Ste 7",Santa Barbara,CA,93101,34.4228741,-119.7034351,5,101,1,"Health & Medical, Eyewear & Opticians, Sunglasses, Optometrists, Laser Eye Surgery/Lasik, Ophthalmologists, Doctors, Shopping"
8yDgFRYjTYdtBH9PVk9E_w,Amador Matchmaking,1332 Santa Barbara St,Santa Barbara,CA,93101,34.4274129,-119.7041876,5,5,1,"Matchmakers, Professional Services, Local Flavor, Nightlife, Life Coach"
qQmdJFMWoDe2T2lbacBE8g,Best Western Plus Pepper Tree Inn,3850 State St,Santa Barbara,CA,93105,34.4408758,-119.7486002,3.5,210,1,"Event Planning & Services, Hotels & Travel, Hotels"
cbkrO0zra1OiNGvtjw2igQ,Wok On the Wild Side,"901 Embarcadero Del Mar, Ste 100",Goleta,CA,93117,34.41310531,-119.8574306,2,95,0,"Restaurants, Chinese"
HK814n_8tYF94a5on_M2ZQ,Imagine Weddings & Special Events,"315 Meigs Rd, Ste A337",Santa Barbara,California,93109,34.428434,-119.713641,5,33,1,"Wedding Planning, Event Planning & Services, Photographers"
pUVRCYL8rT4I5Ry5FYkRsA,Topa Topa Brewing Company,120 Santa Barbara St,Santa Barbara,CA,93101,34.41579499,-119.6885961,4.5,105,1,"Food, Breweries"
DX4e8nKKzmawpOkMDvd5XA,Cloud Nine Treatments,"1129 State St, Ste 12",Santa Barbara,CA,93101,34.4230137,-119.7043737,5,7,1,"Tanning, Hair Extensions, Spray Tanning, Skin Care, Hair Salons, Massage, Eyelash Service, Beauty & Spas"
s4rcTUy6_6yw9h5dkPKuqw,Stabiles Mobile,527 State St,Santa Barbara,CA,93101,34.417351,-119.696579,4,10,1,"Home & Garden, Accessories, Shopping, Home Decor, Fashion, Flowers & Gifts, Jewelry, Gift Shops"
_v3DcLatG70adfYzWTd-CQ,Pacific Health Foods,944 Linden Ave,Carpinteria,CA,93013,34.398436,-119.5187939,4.5,97,1,"Sandwiches, Specialty Food, Food, Health Markets, Juice Bars & Smoothies, Restaurants"
1vj7ACAQgZHCY6vzo2xBdg,Lighthouse Skateshop,16 B Helena Ave,Santa Barbara,CA,93101,34.4132289,-119.6889245,5,25,1,"Skate Shops, Shopping, Sporting Goods"
a-XObFbcLrg3c0KRmtYD6Q,ATG Auto Repair,5929 Matthews St,Goleta,CA,93117,34.43020863,-119.8295952,4.5,36,1,"Transmission Repair, Tires, Oil Change Stations, Auto Repair, Automotive"
iGFGMP5x2PSbAZJudk186Q,Sears Auto Center,3845 State St,Santa Barbara,CA,93105,34.436987,-119.749123,2.5,57,0,"Auto Repair, Oil Change Stations, Automotive, Tires, Fashion, Shopping, Department Stores"
1DXmpiD6U5qid4ppPsv44w,Ecola Termite & Pest Control Services,,Santa Barbara,CA,93101,34.420334,-119.7107494,4.5,5,1,"Pest Control, Local Services"
dGVsh3S39RlPj_MfBZklZQ,Elings Park,1298 Las Positas Rd,Santa Barbara,CA,93105,34.41145417,-119.735932,4.5,44,1,"Active Life, Playgrounds, Parks"
DvblBXJOWydtNFVqLmlS4A,Dalee Car Bath,527 Anacapa St,Santa Barbara,CA,93101,34.41855872,-119.6955802,4.5,17,1,"Auto Detailing, Body Shops, Automotive, Car Wash"
1mqNI-eS2fnQv9kQn5yB4A,Vera Kong Piano Studio,1070 Fairway Rd,Santa Barbara,CA,93108,34.42035694,-119.649511,5,10,1,"Musical Instruments & Teachers, Event Planning & Services, Education, Piano Services, Shopping, Musical Instrument Services, Local Services, Private Tutors, Musicians"
SOl2m-ZsAmnCuQGdMZeANQ,Red Pepper Chinese Food Express,"966 Embarcadero Del Mar, Apt C",Isla Vista,CA,93117,34.411727,-119.8567951,3.5,5,1,"Restaurants, Fast Food, Chinese"
RHZagAH6yiUx4seNWka3hQ,Sport Cycle Pacific,627 N Salsipuedes St,Santa Barbara,CA,93103,34.4245964,-119.6910856,5,6,1,"Automotive, Motorcycle Dealers"
2xM4gM1FVyPbnzgjIJNIrQ,The Blue Door,4 E Yanonali St,Santa Barbara,CA,93101,34.4141694,-119.6913232,4.5,40,1,"Home Services, Accessories, Home & Garden, Shopping, Used, Vintage & Consignment, Interior Design, Home Decor, Furniture Stores, Fashion, Antiques"
SHk_eYKzIOPvgwvTThtXiQ,Romaine's,UCen,Goleta,CA,93118,34.4115477,-119.8439999,3.5,6,1,"American (Traditional), Vegetarian, Restaurants"
CcnlqyP_asIREYktlsAuIA,Bartlette Electric,,Santa Barbara,CA,93105,34.40795232,-119.7168905,5,11,1,"Electricians, Home Services"
7TgH07gCccruJ0SpAxaUdA,Shear Artistry,161 N Fairview Ave,Goleta,CA,93117,34.4430476,-119.8306676,3.5,8,0,"Hair Extensions, Makeup Artists, Hair Salons, Beauty & Spas"
qO9dNNIvNbCBd8ZgjxMxgQ,HOME Santa Barbara,14 Parker Way,Santa Barbara,CA,93101,34.41491237,-119.6941713,4.5,13,1,"Home & Garden, Furniture Stores, Home Decor, Shopping, Flowers & Gifts, Gift Shops"
j-lxie7nEh3UeUTpiqekkQ,Presto Pasta,827 E Montecito St,Santa Barbara,CA,93103,34.4242779,-119.6833015,3,8,0,"Italian, Restaurants"
g3J5-XfnYn8s-cHw_KcsVg,IMX Pilates Studio,918 Chapala St,Santa Barbara,CA,93105,34.4200057,-119.7021057,3,20,0,"Fitness & Instruction, Active Life, Pilates"
8kp1eqQflG1bHCTXnITnqA,El Presidio de Santa Bárbara State Historic Park,123 E Canon Perdido St,Santa Barbara,CA,93101,34.4226985,-119.69886,4,31,1,"Museums, Landmarks & Historical Buildings, Arts & Entertainment, Public Services & Government"
MAIfD4kJDCydgoD1l2b_vw,Corks n' Crowns,32 Anacapa St,Santa Barbara,CA,93101,34.4142112,-119.6887567,4,276,1,"Wine Bars, Beer, Wine & Spirits, Nightlife, Bars, Arts & Entertainment, Wineries, Food"
sjNVeNqhDjEFHoOybnt2ug,Meun Fan Thai Cafe,5664 Calle Real,Goleta,CA,93117,34.44150492,-119.8230234,3.5,157,1,"Thai, Restaurants"
jW4a3W9-UkFxpglHvo_Kqg,Meun Fan Thai Cafe,1819 Cliff Dr,Santa Barbara,CA,93109,34.401169,-119.721505,4,195,1,"Restaurants, Soup, Salad, Thai"
DnkpXhc5DKdeBT-0jG13JQ,Carpinteria Lock & Key,"4939 Carpinteria Ave, Ste B",Carpinteria,CA,93013,34.3993593,-119.5190596,5,70,1,"Security Systems, Keys & Locksmiths, Home Services"
sjP_8huVi91BiGB6dOBn1Q,Monty's,5114 Hollister Ave,Santa Barbara,CA,93111,34.43554,-119.8028738,3.5,13,0,"Nightlife, Bars, Sports Bars"
msTdN24LLJ4Dg1tdBjoG-w,Beach Motor & Tires,4897 Carpinteria Ave,Carpinteria,CA,93013,34.399786,-119.519865,5,11,1,"Auto Repair, Auto Parts & Supplies, Oil Change Stations, Automotive, Tires"
FuU-wjbEslczzWAQzht50g,Santa Barbara Frame Shop & Gallery,"1324 State St, Ste J",Santa Barbara,CA,93101,34.4250159,-119.7065114,5,6,0,"Art Galleries, Arts & Entertainment, Arts & Crafts, Framing, Shopping"
Zh09tfHtkRaausaEnVrXzA,A-American Self Storage,20 S Calle Cesar Chavez,Santa Barbara,CA,93103,34.41772603,-119.6825277,4,5,1,"Self Storage, Local Services"
4z3WB3Lb5m5in4Eg4Dh-zw,Chava Stich N Print,"325 Rutherford St, Ste A",Goleta,CA,93117,34.434713,-119.8257733,5,11,1,"Embroidery & Crochet, Shopping, Local Services, Screen Printing/T-Shirt Printing, Arts & Crafts"
3RtMd3VZ21WL5auDr6Jp9A,Cafe Zoma,918 State St,Santa Barbara,CA,93101,34.4209873,-119.7012134,4,27,0,"Food, Coffee & Tea"
aXOWRD_3H_5KvYZQ5HWPeA,Slanging Ink,"900 N Milpas St, Ste B",Santa Barbara,CA,93103,34.4302529,-119.6903156,4.5,5,1,"Tattoo, Beauty & Spas, Piercing"
_nvLQbSUXdBsMu2OFK5HdA,The Loop- Coastal Ridge,6533 Trigo Rd,Isla Vista,CA,93117,34.4108424,-119.8552361,2.5,35,0,"Real Estate Services, Apartments, Real Estate, Home Services"
yeuyv11rUuGNRScqwxuHzA,Santa Barbara Jet Boats,301 W Cabrillo Blvd,Santa Barbara,CA,93101,34.40829,-119.6914691,4,40,1,"Boating, Active Life, Local Flavor, Rafting/Kayaking"
